program_name,state,city,incentive_type,property_type,description,eligibility_criteria,incentive_amount,valid_until,updated_at,review_needed,program_links
Orlando Utilities Commission - Solar Programs,Florida,,Tax Credits,Residential,"The Orlando Utilities Commission (OUC) offers a rebate program for customers who install solar thermal water heaters, helping to reduce the upfront costs of adopting this sustainable technology. The program provides financial incentives to encourage energy-efficient water heating, which can lower energy bills and reduce environmental impact. To take advantage of this opportunity, customers must meet specific eligibility requirements and follow the application process outlined on the OUC website.",Applicable Sectors: Residential; Eligible Technologies: Solar Water Heat,Solar Therm: $900 rebate (max: No maximum specified Terms: Five-year agreement with automatic renewal),,2025-09-23,No,https://programs.dsireusa.org/system/program/detail/2867/orlando-utilities-commission-solar-programs
Modified Accelerated Cost-Recovery System (MACRS),Federal,,Tax Credits,"Commercial, Industrial, Agricultural","Note: The One Big Beautiful Bill (OBBB) repealed the ability for ""energy property"" to qualify for the 5-year Modified Accelerated Cost-Recovery System (MACRS). Instead, the OBBB permanently restored 100% bonus depreciation in year one. The summary below discusses MACRS as it existed for energy property prior to the enactment of the OBBB. Prior to the OBBB, The Tax Cuts and Jobs Act of 2017 increased bonus depreciation to 100% for qualified property acquired and placed in service after September 27, 2017 and before January 1, 2023.","Applicable Sectors: Commercial, Industrial, Agricultural; Eligible Technologies: Solar Water Heat, Solar Space Heat, Geothermal Electric, Solar Thermal Electric, Solar Thermal Process Heat, Solar Photovoltaics, Wind (All), Biomass, Geothermal Heat Pumps, Municipal Solid Waste, Combined Heat & Power, Fuel Cells using Non-Renewable Fuels, Landfill Gas, Tidal, Wave, Ocean Thermal, Wind (Small), Geothermal Direct-Use, Anaerobic Digestion, Fuel Cells using Renewable Fuels, Microturbines Eligible Electric Vehicle Technologies: Level-2 Electric Vehicle Service Equipment, Direct Current Fast Charging Equipment",100% depreciation in year one,,2025-07-25,No,https://programs.dsireusa.org/system/program/detail/676/modified-accelerated-cost-recovery-system-macrs
Alternative Fuel Vehicle Refueling Property Tax Credit (Corporate),Federal,,Tax Credits,"Commercial, Industrial, Local Government, Nonprofit, Cooperative Utilities, State Government, Tribal Government","Note: Section 70504 of The One Big Beautiful Bill (OBBB) repealed this tax credit for equipment placed in service after June 30, 2026. Prior to enactment of the OBBB, Section 13404 of The Inflation Reduction Act of 2022 (H.R. 5376) modified and extended the expiration date for the Alternative Fuel Vehicle Refueling Property Credit. Among other changes, it reduced the base tax credit from 30% to 6%, but allows the full 30% for projects that meet certain labor standards. The summary below described the credit as modified by H.R. 5376.","Applicable Sectors: Commercial, Industrial, Local Government, Nonprofit, Cooperative Utilities, State Government, Tribal Government; Equipment Requirements: The project must be located in a census tract described in section 45D(e) of the IRS Code, or not in an urban area.","6% for projects that do not meet specified labor standards 30% for projects that do meet specified labor standards (max: $100,000 for each single item of property)",2026-06-30,2025-07-25,No,https://programs.dsireusa.org/system/program/detail/22474/alternative-fuel-vehicle-refueling-property-tax-credit-corporate
Alternative Fuel Vehicle Refueling Property Tax Credit (Personal),Federal,,Tax Credits,"Residential, Multifamily Residential, Low Income Residential","Note: Section 70504 of The One Big Beautiful Bill (OBBB) repealed this tax credit for equipment placed in service after June 30, 2026. Qualified alternative fuel vehicle refueling equipment not subject to depreciation allowances, including electric vehicle charging equipment, is eligible for a tax credit of 30% up to $1,000. These projects do not have to meet the same labor standards as commercial projects in order to qualify for the full 30% tax credit.","Applicable Sectors: Residential, Multifamily Residential, Low Income Residential","30% (max: $1,000)",2032-12-31,2025-07-25,No,https://programs.dsireusa.org/system/program/detail/22475/alternative-fuel-vehicle-refueling-property-tax-credit-personal
Plug-In Electric Drive Vehicle Tax Credit,Federal,,Tax Credits,"Commercial, Industrial, Residential, Agricultural","Note: Section 70502 of The One Big Beautiful Bill (OBBB) repealed this tax credit for equipment placed in service after September 30, 2025. Vehicles placed into service prior to January 1, 2023: The federal government provides a tax credit for the purchase of a new all electric or plug-in hybrid electric vehicle.","Applicable Sectors: Commercial, Industrial, Residential, Agricultural","Vehicles purchased prior to 1/1/2023: $2,500 plus $417 for each kWh of battery capacity in excess of 4 kilowatt-hours Vehicles purchased after 12/31/2022: Up to $7,500 if certain sourcing requirements are met (max: $7,500 Incentives This program has 1 Incentives)",,2025-07-25,No,https://programs.dsireusa.org/system/program/detail/22352/plug-in-electric-drive-vehicle-tax-credit
Energy-Efficient New Homes Tax Credit for Home Builders,Federal,,Tax Credits,Construction,"Note: Section 70508 of The One Big Beautiful Bill (OBBB) repealed this tax credit for homes constructed and acquired after June 30, 2026. Tax Credit for homes constructed and acquired before January 1, 2023: The federal Energy Policy Act of 2005 established tax credits of up to $2,000 for builders of all new energy-efficient homes, including manufactured homes constructed in accordance with the Federal Manufactured Homes Construction and Safety Standards.",Applicable Sectors: Construction; Eligible Efficiency Technologies: Comprehensive Measures/Whole Building,"Varies, see summary below (max: $5,000)",2026-06-30,2025-07-25,No,https://programs.dsireusa.org/system/program/detail/1272/energy-efficient-new-homes-tax-credit-for-home-builders
Qualified Commercial Clean Vehicle Tax Credit,Federal,,Tax Credits,"Commercial, Industrial, Local Government, Nonprofit, Cooperative Utilities, State Government, Tribal Government","Note: Section 70503 of The One Big Beautiful Bill (OBBB) repealed this tax credit for equipment placed in service after September 30, 2025. Section 13403 of The Inflation Reduction Act of 2022 (H.R. 5376) established a tax credit for qualified commercial clean vehicles purchased on or after January 1, 2023. To qualify, the vehicle must have a gross vehicle weight rating of less than 14,000 pounds and have a battery rating of not less than 7 kilowatt hours.","Applicable Sectors: Commercial, Industrial, Local Government, Nonprofit, Cooperative Utilities, State Government, Tribal Government","All Electric Vehicle: 30% Plug-in Hybrid Vehicles: 15% (max: Vehicles less than 14,000 pounds: $7,500 Mobil Machinery: $40,000)",,2025-07-25,No,https://programs.dsireusa.org/system/program/detail/22473/qualified-commercial-clean-vehicle-tax-credit
Residential Renewable Energy Tax Credit,Federal,,Tax Credits,Residential,"Note: Section 70506 of The One Big Beautiful Bill (OBBB) repealed this tax credit for any expenditures made after December 31, 2025. A taxpayer may claim a credit for a system that serves a dwelling unit located in the United States that is owned and used as a residence by the taxpayer. Expenditures with respect to the equipment are treated as made when the installation is completed. If the installation is at a new home, the ""placed in service"" date is the date of occupancy by the homeowner.","Applicable Sectors: Residential; Equipment Requirements: Solar water heating property must be certified by SRCC or a comparable entity endorsed by the state where the system is installed. At least half the energy used to heat the dwelling's water must be from solar.; Eligible Technologies: Solar Water Heat, Solar Photovoltaics, Biomass, Geothermal Heat Pumps, Wind (Small), Fuel Cells using Renewable Fuels",30%,,2025-07-25,No,https://programs.dsireusa.org/system/program/detail/1235/residential-renewable-energy-tax-credit
Residential Energy Efficiency Tax Credit,Federal,,Tax Credits,Residential,"Note: Section 70505 of The One Big Beautiful Bill (OBBB) repealed this tax credit for equipment placed in service after December 31, 2025. Property placed in service after 12/31/2022 and before 1/1/2026: H.R. 5376 of 2022 modified the value of this tax credit, making it 30% of the cost of an item or improvement. Each item or improvement has a separate tax credit cap as shown below, and a taxpayer cannot claim more than $1,200 in total tax credits per year, except as specified.","Applicable Sectors: Residential; Equipment Requirements: Equipment must be new and in compliance with all applicable performance and safety standards as described in tax code; Eligible Technologies: Biomass Stoves; Eligible Efficiency Technologies: Water Heaters, Furnaces, Boilers, Heat pumps, Air conditioners, Duct/Air sealing, Building Insulation, Windows, Doors, Roofs, Heat Pump Water Heater, Electrical Panel, Smart Electrical Panel","Varies (see below) (max: For purchases made in 2023 - 2025: annual maximum of $1,200, with the exception of some technologies as documented below. For purchases made in 2005 - 2022: Aggregate amount of credit is limited to $500. Taxpayer is ineligible for this tax credit if this credit has already been claimed by the taxpayer in an amount of $500 in any previous year.)",,2025-07-25,No,https://programs.dsireusa.org/system/program/detail/1274/residential-energy-efficiency-tax-credit
Energy-Efficient Commercial Buildings Tax Deduction,Federal,,Tax Credits,"Commercial, Construction, Nonprofit, Schools, State Government, Federal Government","Note: Section 70507 of The One Big Beautiful Bill (OBBB) repealed this tax credit for property the construction of which begins after June 30, 2026. The federal Energy Policy Act of 2005 established a tax deduction for energy-efficient commercial buildings applicable to qualifying systems and buildings placed in service from January 1, 2006, through December 31, 2007. This deduction was subsequently extended several times, and is now permanent.","Applicable Sectors: Commercial, Construction, Nonprofit, Schools, State Government, Federal Government; Eligible Efficiency Technologies: Equipment Insulation, Water Heaters, Lighting, Lighting Controls/Sensors, Chillers, Furnaces, Boilers, Heat pumps, Air conditioners, Caulking/Weather-stripping, Duct/Air sealing, Building Insulation, Windows, Siding, Roofs, Comprehensive Measures/Whole Building, Other EE, Tankless Water Heater","Building Projects That Do Not Meet the Labor Provisions: $0.50 per square foot for a building with 25% energy savings, plus $0.02 per square foot for each percentage point above 25%, up to a maximum of $1.00 per square foot for a building with 50% energy savings (max: Project cost or $5.00 per square foot, whichever is less)",2026-06-30,2025-07-25,No,https://programs.dsireusa.org/system/program/detail/1271/energy-efficient-commercial-buildings-tax-deduction
Renewable Electricity Production Tax Credit (PTC),Federal,,Tax Credits,"Commercial, Industrial","Note: The One Big Beautiful Bill (OBBB) made significant changes to this tax credit. To qualify for the tax credit, solar and wind energy systems must be either placed in service by December 31, 2027, or construction must commence by July 4, 2026.","Applicable Sectors: Commercial, Industrial; Equipment Requirements: None specified; Installation Requirements: None specified Carryover Provisions: Unused credits may be carried forward for up to 20 years following the year they were generated or carried back 1 year if the taxpayer files an amended return. Incentives This program has 2 Incentives; Eligible Technologies: Geothermal Electric, Solar Thermal Electric, Solar Photovoltaics, Wind (All), Biomass, Hydroelectric, Municipal Solid Waste, Landfill Gas, Tidal, Wave, Ocean Thermal, Wind (Small), Hydroelectric (Small), Offshore Wind; Eligible System Size: Marine and Hydrokinetic: Minimum nameplate capacity rating of 150 kW Open-Loop Biomass Facilities Using Agricultural Livestock Waste: Minimum nameplate capacity of 150 kW","Systems commencing construction on or after 2022 and meeting labor requirements, and systems under 1 MW Wind, Closed-Loop Biomass, Solar, Geothermal: $0.0275/kWh Other eligible technologies: $0.015/kWh (max: None specified)",,2025-07-18,No,https://programs.dsireusa.org/system/program/detail/734/renewable-electricity-production-tax-credit-ptc
Business Energy Investment Tax Credit (ITC),Federal,,Tax Credits,"Commercial, Industrial, Investor-Owned Utility, Local Government, Nonprofit, Cooperative Utilities, Schools, State Government, Agricultural, Institutional","Note: The One Big Beautiful Bill (OBBB) made significant changes to this tax credit. To qualify for the tax credit, solar and wind energy systems must be either placed in service by December 31, 2027, or construction must commence by July 4, 2026.","Applicable Sectors: Commercial, Industrial, Investor-Owned Utility, Local Government, Nonprofit, Cooperative Utilities, Schools, State Government, Agricultural, Institutional; Eligible Technologies: Solar Water Heat, Solar Space Heat, Geothermal Electric, Solar Thermal Electric, Solar Thermal Process Heat, Solar Photovoltaics, Wind (All), Geothermal Heat Pumps, Municipal Solid Waste, Combined Heat & Power, Fuel Cells using Non-Renewable Fuels, Tidal, Wind (Small), Geothermal Direct-Use, Fuel Cells using Renewable Fuels, Microturbines, Offshore Wind Biogas, Microgrid Controllers, Interconnection Property Eligible Storage Technologies: Lithium-ion","Base Credit: 6% - 30% (depending on project status and labor factors, see below) Domestic Content Bonus: 10% additional Energy Community Bonus: 10% additional Low-Income Community Bonus: 10% additional Low-income Residential Building or Low-Income Economic Benefit Bonus: 20% additional",,2025-07-16,No,https://programs.dsireusa.org/system/program/detail/658/business-energy-investment-tax-credit-itc
City of Tallahassee Utilities - Residential Energy Efficiency Rebate Program,Florida,,Tax Credits,Residential,"City of Tallahassee Utilities (CTU) offers residential customers rebates for ENERGY STAR appliances, Efficient HVAC Systems, ENERGY STAR homes, Solar Water Heaters, and Natural Gas Appliances. Visit the CTU website for more detailed information about any of these rebates.","Applicable Sectors: Residential; Equipment Requirements: Efficient HVAC Rebates Air Conditioners (Tier 1): Split systems SEER2 15.2, EER2 12.0 (Package units SEER2 15.2, EER2 11.5) Air Conditioners (Tier 2): Split systems SEER2 17.1, EER2 12 Heat Pumps (Tier 1): Split systems SEER2 15.2, EER2 11.7, HSPF2 7.8 (Package units SEER2 15.2, EER2 10.6, HSPF2 7.2) Heat Pumps (Tier 2): Split systems SEER2 17.1, EER2 12.0, HSPF2 8.0 (Package units SEER2 15.2, EER2 11.0, HSPF2 7.8) Heat Pumps (Tier 3): EER 17.1 and COP 3.6 (closed loop); or EER 21.1 & COP 4.1 (open loop) Heat Pump Water Heater: ENERGY STAR Certified. Rebate unavailable if replacing natural gas water heating; Eligible Technologies: Solar Water Heat; Eligible Efficiency Technologies: Clothes Washers, Dishwasher, Refrigerators/Freezers, Water Heaters, Lighting, Furnaces, Heat pumps, Air conditioners, Programmable Thermostats, Building Insulation, Pool Pumps","Efficient HVAC Rebates Air Conditioners (Tier 1): $100 Air Conditioners (Tier 2): $350 Heat Pumps (Tier 1): $100 Heat Pumps (Tier 2): $350 Heat Pumps (Tier 3): $750 Heat Pump Water Heater: $300 (max: ENERGY STAR New Home and Renovation: $2,000)",,2025-06-23,No,https://programs.dsireusa.org/system/program/detail/3029/city-of-tallahassee-utilities-residential-energy-efficiency-rebate-program
Florida Public Utilities - Residential HVAC Rebate Program,Florida,,Tax Credits,"Residential, Multifamily Residential",Florida Public Utilities offers rebates to electric residential customers who improve the efficiency of homes. Central air conditioners and heat pumps which meet program requirements are eligible for up to a $100 rebate from FPU. Units must be 15 SEER or higher in order to be eligible. Contact FPU for more information on this program.,"Applicable Sectors: Residential, Multifamily Residential; Equipment Requirements: The minimum requirement for the FPUC rebate program is 15 SEER; Eligible Efficiency Technologies: Heat pumps, Air conditioners",Type 1 – Heat pump replacing resistance heat: $75 - $100 Type 2 – Heat pump replacement: $25 - $100 Type 3 – Air conditioner replacement: $25 - $100 Type 4 – New heat pump or air conditioner: $25 - $100,,2025-06-20,No,https://programs.dsireusa.org/system/program/detail/3692/florida-public-utilities-residential-hvac-rebate-program
City of Tallahassee Utilities - Solar Water Heating Rebate,Florida,,Tax Credits,"Residential, Installers/Contractors",The City of Tallahassee Utilities offers a $450 rebate to homeowners* and homebuilders who install a solar water-heating system. This rebate may be applied to a first-time installation or to the replacement of an older solar water-heating system. Homebuilders may also apply for the rebate when installing a solar water heater on a new home. Pool heating systems are not eligible for the rebate. The homeowner must allow the City of Tallahassee to conduct an energy audit on the home in order to make a preliminary assessment of sun exposure and to provide program guidance.,"Applicable Sectors: Residential, Installers/Contractors; Equipment Requirements: Must be FSEC-certified and freeze protected; Installation Requirements: Must be installed by a state-certified solar or plumbing contractor; Eligible Technologies: Solar Water Heat",$450,,2025-06-20,No,https://programs.dsireusa.org/system/program/detail/2847/city-of-tallahassee-utilities-solar-water-heating-rebate
"Clay Electric Cooperative, Inc - Energy Conservation Loans",Florida,,Tax Credits,"Residential Maximum Loan: $10,000 Interest Rate: 6% or 9% Incentives This program has 1 Incentives","Clay Electric Cooperative, Inc., headquartered in Keystone Heights, Florida, is one of the largest member-owned, not-for-profit electric utilities in the U.S., serving members across six district offices. Formed in 1937, the co-op is known for excellent service and is part of the Touchstone Energy® alliance. Governed by a nine-member board of trustees elected by the membership, the co-op holds an annual meeting each year, with the 2025 gathering held on March 29 in Keystone Heights.","Applicable Sectors: Residential Maximum Loan: $10,000 Interest Rate: 6% or 9% Incentives This program has 1 Incentives; Eligible Technologies: Solar Water Heat, Solar Pool Heating; Eligible Efficiency Technologies: Refrigerators/Freezers, Water Heaters, Heat pumps, Air conditioners, Programmable Thermostats, Duct/Air sealing, Building Insulation, Windows, Doors",,,2025-06-20,Yes,https://programs.dsireusa.org/system/program/detail/3060/clay-electric-cooperative-inc-energy-conservation-loans
Fort Pierce Utilities Authority - Residential Energy Efficiency Rebate Program,Florida,,Tax Credits,Residential,"Fort Pierce Utilities Authority offers a variety of incentives for their residential customers to save energy in their homes. Rebates are available for room A/C units, insulation upgrades, central A/C, refrigerators, and clothes dryers. All of the equipment must meet certain energy efficiency standards listed on the program web site. Applications for the various rebates are located on the program web site. Once application forms are received and processed, rebates will be paid in the form of a credit on one or more of the customer’s monthly electric consumption bills.","Applicable Sectors: Residential; Equipment Requirements: High Efficiency Central A/C: 14.3 SEER2 Added insulation: added to achieve R-30, minimum addition of R-19 New Insulation: R-30 Refrigerator: Energy Star Room AC: Energy Star Incentives This program has 8 Incentives; Eligible Technologies: Solar Water Heat; Eligible Efficiency Technologies: Clothes Washers, Refrigerators/Freezers, Water Heaters, Heat pumps, Air conditioners, Building Insulation, Other EE, Insulation, Tankless Water Heater",Solar Hot Water Heater: $450 per unit Insulation (New): $0.40 per square ft Insulation (Added): $0.125 per square ft ENERGY STAR Refrigerator: $50 per unit ENERGY STAR Room Air Conditioner: $150 per unit High Efficiency Central A/C: $500 Tank Water Heater: $350 - $500 per unit Tankless Water Heater: $550 - $675 per unit Clothes Dryer: $100 - $150 per unit Range: $100 - $200 per unit Furnace: $500 - $725 per unit (max: Insulation (New): $300 Insulation (Added): $275 High Efficiency Central Air Conditioning System/Heat Pumps: 2 per houshold All other equipment: 1 per household),,2025-06-18,No,https://programs.dsireusa.org/system/program/detail/3619/fort-pierce-utilities-authority-residential-energy-efficiency-rebate-program
New Smyrna Beach - Energy Efficiency Rebate Program,Florida,,Tax Credits,Residential,The Utilities Commission of New Smyrna Beach (UCNSB) is offering rebates to residential customers for the purchase of a variety of energy efficiency improvements. See website for details.,"Applicable Sectors: Residential; Equipment Requirements: All repairs must be performed by a licensed contractor See program application for full requirement details Incentives This program has 2 Incentives; Eligible Efficiency Technologies: Heat pumps, Air conditioners, Programmable Thermostats, HVAC",Electric HVAC Residential Rebates Central A/C: $150 - $250 Electric Straight Cooling: $120 - $200 (max: Solar Attic Fan: $150),,2025-06-12,No,https://programs.dsireusa.org/system/program/detail/3335/new-smyrna-beach-energy-efficiency-rebate-program
USDA - High Energy Cost Grant Program,Federal,,Tax Credits,"Commercial, Industrial, Local Government, Nonprofit, Residential, Schools, State Government, Tribal Government, Institutional","NOTE: The most recent solicitation for this program closed February 28, 2025. Please check the program website for information on future solicitations. The U.S. Department of Agriculture (USDA) offers an ongoing grant program for the improvement of energy generation, transmission, and distribution facilities in rural communities. This program began in 2000. Eligibility is limited to projects in communities that have average home energy costs at least 275% above the national average.","Applicable Sectors: Commercial, Industrial, Local Government, Nonprofit, Residential, Schools, State Government, Tribal Government, Institutional; Installation Requirements: Both grid-connected and off-grid renewable energy installations are eligible; Eligible Technologies: Solar Water Heat, Solar Space Heat, Solar Thermal Electric, Solar Thermal Process Heat, Solar Photovoltaics, Wind (All), Biomass, Hydroelectric, Wind (Small), Hydroelectric (Small); Eligible Efficiency Technologies: Yes; specific technologies not identified","$100,000-$3,000,000 (max: $3 million)",,2025-05-16,No,https://programs.dsireusa.org/system/program/detail/4359/usda-high-energy-cost-grant-program
Energy-Efficient Mortgages,Federal,,Tax Credits,Residential Maximum Loan: Maximum loan limits can be exceeded by the energy improvements being financed.,"Homeowners can take advantage of energy efficient mortgages (EEM) to either finance energy efficiency improvements to existing homes, including renewable energy technologies, or to increase their home buying power with the purchase of a new energy efficient home. The U.S. federal government supports these loans by insuring them through Federal Housing Authority (FHA) or Veterans Affairs (VA) programs. This allows borrowers who might otherwise be denied loans to pursue energy efficiency, and it secures lenders against loan default.","Applicable Sectors: Residential Maximum Loan: Maximum loan limits can be exceeded by the energy improvements being financed.; Eligible Technologies: Solar - Passive, Solar Water Heat, Solar Space Heat, Solar Photovoltaics, Daylighting; Eligible Efficiency Technologies: Yes; specific technologies not identified",,,2025-05-16,Yes,https://programs.dsireusa.org/system/program/detail/742/energy-efficient-mortgages
Fannie Mae Green Financing – Loan Program,Federal,,Tax Credits,Multifamily Residential Maximum Loan: Not Specified Loan Term: Not Specified Interest Rate: Interest rate benefit varies – contact a Fannie Mae DUS® Lender for details,"NOTE: Only multifamily properties are eligible for the program. Single family homeowners are not eligible for this program. The Fannie Mae Green Financing Business provides mortgage financing to apartment buildings and cooperatives (with 5 or more units) to finance energy and water efficiency property improvements. Its green financing programs include Green Rewards, and preferential pricing for loans secured by a property with an eligible Green Building Certification. All Fannie Mae green loans are securitized as Green Mortgage Backed Securities (Green MBS).","Applicable Sectors: Multifamily Residential Maximum Loan: Not Specified Loan Term: Not Specified Interest Rate: Interest rate benefit varies – contact a Fannie Mae DUS® Lender for details; Eligible Technologies: Solar Photovoltaics Low-Flow Water Fixtures; Eligible Efficiency Technologies: Clothes Washers, Dishwasher, Dehumidifiers, Water Heaters, Lighting, Furnaces, Boilers, Heat pumps, Air conditioners, Caulking/Weather-stripping, Duct/Air sealing, Building Insulation, Windows, Roofs, Comprehensive Measures/Whole Building, Custom/Others pending approval, Insulation, Tankless Water Heater",,,2025-05-16,Yes,https://programs.dsireusa.org/system/program/detail/5780/fannie-mae-green-financing-loan-program
Office of Indian Energy Policy and Programs - Funding Opportunities,Federal,,Tax Credits,Tribal Government,"The U.S. Department of Energy's (DOE) Office of Indian Energy Policy and Programs promotes tribal energy sufficiency, economic growth, and employment on tribal lands through the development of renewable energy and energy efficiency technologies. The program provides financial assistance, technical assistance, and education and training to tribes for the evaluation and development of renewable energy resources and energy efficiency measures.","Applicable Sectors: Tribal Government; Eligible Technologies: Solar Water Heat, Solar Space Heat, Geothermal Electric, Solar Photovoltaics, Wind (All), Biomass, Hydroelectric, Wind (Small); Eligible Efficiency Technologies: Refrigerators/Freezers, Water Heaters, Lighting, Lighting Controls/Sensors, Chillers, Furnaces, Boilers, Air conditioners, Programmable Thermostats, Energy Mgmt. Systems/Building Controls, Caulking/Weather-stripping, Duct/Air sealing, Building Insulation, Windows, Siding, Roofs, Comprehensive Measures/Whole Building, Other EE",Varies by solicitation (max: Varies by solicitation),,2025-05-16,No,https://programs.dsireusa.org/system/program/detail/918/office-of-indian-energy-policy-and-programs-funding-opportunities
"USDA - Biorefinery, Renewable Chemical, and Biobased Product Manufacturing Assistance Program",Federal,,Tax Credits,"Commercial, Construction, Industrial, Investor-Owned Utility, Local Government, Municipal Utilities, Cooperative Utilities, State Government, Federal Government, Tribal Government, Agricultural, Institutional Maximum Loan: Maximum loan amount: 80% of project costs or $250 million Loan Term: Term: 20 years or the useful life of the project, whichever is less Rate: Lender's customary commercial interest rate, fixed or variable Fees vary with % guarantee and loan amount","Note: Applications are accepted year round. Financial investment decisions are made twice a year. See program website to learn more about the current status. USDA Rural Development is offering loan guarantees for the development, construction, and retrofitting of commercial-scale biorefineries.","Applicable Sectors: Commercial, Construction, Industrial, Investor-Owned Utility, Local Government, Municipal Utilities, Cooperative Utilities, State Government, Federal Government, Tribal Government, Agricultural, Institutional Maximum Loan: Maximum loan amount: 80% of project costs or $250 million Loan Term: Term: 20 years or the useful life of the project, whichever is less Rate: Lender's customary commercial interest rate, fixed or variable Fees vary with % guarantee and loan amount; Eligible Technologies: Biomass, Municipal Solid Waste, Landfill Gas Renewable Chemicals, Biofuels",,,2025-05-16,Yes,https://programs.dsireusa.org/system/program/detail/5313/usda-biorefinery-renewable-chemical-and-biobased-product-manufacturing-assistance-program
Duke Energy - Park and Plug Program,Florida,,Tax Credits,Commercial,"Note: Program is currently accepting applications Through the Park and Plug Program, Duke Energy will provide the equipment, installation, warranty and network connection services free of charge. This program has installed more than 600 new EV charging locations across the state. For more information, visit the program website.",Applicable Sectors: Commercial,,,2025-03-24,Yes,https://programs.dsireusa.org/system/program/detail/22305/duke-energy-park-and-plug-program
Orlando Utilities Commission - Electric Vehicle Rebate Program,Florida,,Tax Credits,Residential,Customers of the Orlando Utilities Commission are eligible to receive a $200 rebate for the purchase or lease of a plug-in electric vehicle. Visit the program website for more information.,Applicable Sectors: Residential,$200 Incentives This program has 1 Incentives,,2025-03-24,No,https://programs.dsireusa.org/system/program/detail/22307/orlando-utilities-commission-electric-vehicle-rebate-program
Duke Energy Florida - Smart $aver Commercial Energy Efficiency Rebate Program,Florida,,Tax Credits,Commercial,"Duke Energy Florida offers incentives to its business customers for replacing their old equipment with high-efficiency models, and for making improvements to their existing equipment. Interested customers should refer to the program website and related brochures for more details including incentive levels and equipment requirements.","Applicable Sectors: Commercial; Equipment Requirements: See program website for information on equipment requirements; Eligible Efficiency Technologies: Chillers, Heat pumps, Air conditioners, Heat recovery, Energy Mgmt. Systems/Building Controls, Duct/Air sealing, Building Insulation, Other EE",Building Envelope Improvements Ceiling Insulation Upgrade (available for retrofit projects only): $0.17/sq. ft. Wall Insulation (available for retrofit projects only): $0.10/sq. ft.,,2025-02-20,No,https://programs.dsireusa.org/system/program/detail/1421/duke-energy-florida-smart-aver-commercial-energy-efficiency-rebate-program
Orlando Utilities Commission - Commercial Energy Efficiency Rebate Program,Florida,,Tax Credits,"Commercial, Industrial",Orlando Utilities Commission (OUC) offers rebates on a variety of energy efficient improvements for commercial customers.Prescriptive and custom incentives are available. Eligible measures include: Window Film or Solar Screens Energy Star Windows Cool/Reflective Roof Ceiling Insulation Upgrades Heat Pumps Duct Repair/Replacements A/C Proper Sizing w/ R-30 Attic Insulation Energy Star Heat Pump Water Heaters Random on-site verification may be scheduled prior to issuing rebates. Rebates are paid as a credit on the customer's bill.,"Applicable Sectors: Commercial, Industrial; Eligible Efficiency Technologies: Clothes Washers, Water Heaters, Heat pumps, Air conditioners, Duct/Air sealing, Building Insulation, Windows, Reflective Roofs","Ceiling Insulation Upgrade: $0.10/sq. ft. Cool/Reflective Roof: $0.12/sq. ft. Lighting Projects: $250/kW of demand reduction Duct Repair/Replacement: 100% of cost up to $100 Heat Pump Water Heater: $500 Windows: $1.50/sq. ft. Heat Pump A/C: $45 - $1,150/ton Window Film or Solar Screen: $0.55/sq. ft.",,2025-02-20,No,https://programs.dsireusa.org/system/program/detail/5412/orlando-utilities-commission-commercial-energy-efficiency-rebate-program
Florida Public Utilities (Gas) - Commercial Energy Efficiency Rebates,Florida,,Tax Credits,"Commercial, Industrial","Florida Public Utilities offers commercial natural gas customers energy efficiency rebates to save energy in facilities. Rebates are available for water hears, dryers, fryers, cooking ranges, and gas-fired heat pumps & space conditioning systems. Rebates vary based on industry. All program requirements must be met in order to qualify for rebates. Contact FPU for more information on these offerings.","Applicable Sectors: Commercial, Industrial; Equipment Requirements: See website for details.; Installation Requirements: See website for details.; Eligible Efficiency Technologies: Dehumidifiers, Water Heaters, Heat pumps, Food Service Equipment, Tankless Water Heater; Eligible System Size: See website for details.","New Construction Tank Water Heater: $1,000 - $1,500 Tankless Water Heater: $2,000 Dryer: $1,500 Range: $1,500 Fryer: $3,000 (max: $10,000 per account per year for appliances rebated under the New Construction and Retention (Gas to Gas) programs.)",,2025-02-19,No,https://programs.dsireusa.org/system/program/detail/5817/florida-public-utilities-gas-commercial-energy-efficiency-rebates
Florida Public Utilities - Commercial Energy Efficiency Rebate Programs,Florida,,Tax Credits,"Commercial, Construction","Florida Public Utilities offers the Energy for Life Conservation program to commercial electric customers to save energy in facilities. Rebates are available for lighting, chiller, heat pump, air conditioning, and window film applications. Lighting and chiller rebates vary based upon the amount of energy saved through the equipment upgrade. All program equipment must be met in order to qualify for rebates. Contact FPU for more information on these offerings.","Applicable Sectors: Commercial, Construction; Equipment Requirements: AC/Heat Pump: New system must be at least 15 SEER; see web site for further details; Eligible Efficiency Technologies: Chillers, Heat pumps, Air conditioners, Reflective Roofs",AC/Heat Pump: $25 - $100 Chiller: Up to $175/kW Reflective Roofs for Existing Homes: $0.325 per square foot Reflective Roofs for New Roofs: $0.075 per square foot,,2025-02-18,No,https://programs.dsireusa.org/system/program/detail/3693/florida-public-utilities-commercial-energy-efficiency-rebate-programs
